100, 0.06134, 0.005
200, 0.03021, 0.005
300, 0.02770, 0.005
400, 0.02639, 0.005
500, 0.02463, 0.005
600, 0.02230, 0.005
700, 0.02070, 0.005
800, 0.02030, 0.005
900, 0.01872, 0.005
1000, 0.01674, 0.005
1100, 0.01689, 0.005
1200, 0.01544, 0.005
1300, 0.01440, 0.005
1400, 0.01455, 0.005
1500, 0.01413, 0.005
1600, 0.01382, 0.005
1700, 0.01309, 0.005
1800, 0.01240, 0.005
1900, 0.01188, 0.005
2000, 0.01146, 0.005
2100, 0.01174, 0.005
2200, 0.01064, 0.005
2300, 0.01106, 0.005
2400, 0.01065, 0.005
2500, 0.01012, 0.005
2600, 0.00981, 0.005
2700, 0.01041, 0.005
2800, 0.00968, 0.005
2900, 0.00959, 0.005
3000, 0.00978, 0.005
3100, 0.00913, 0.005
3200, 0.00852, 0.005
3300, 0.00869, 0.005
3400, 0.00867, 0.005
3500, 0.00845, 0.005
3600, 0.00901, 0.005
3700, 0.00829, 0.005
3800, 0.00811, 0.005
3900, 0.00841, 0.005
4000, 0.00827, 0.005
4100, 0.00784, 0.005
4200, 0.00811, 0.005
4300, 0.00718, 0.005
4400, 0.00708, 0.005
4500, 0.00748, 0.005
4600, 0.00689, 0.005
4700, 0.00741, 0.005
4800, 0.00683, 0.005
4900, 0.00778, 0.005
5000, 0.00713, 0.005
